epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,405.099,1.41319,0.9569,1.32411,0.92043,0.90684,0.94671,0.57901,1.30812,1.06381,1.50486,0.000488218,0.000488218,0.000488218
135,407.851,1.41968,0.95766,1.36541,0.92796,0.90545,0.94682,0.58781,1.29809,1.0391,1.49753,0.000481144,0.000481144,0.000481144
136,410.853,1.37469,0.92214,1.3168,0.93036,0.90243,0.94648,0.5935,1.28721,1.03421,1.49685,0.000474071,0.000474071,0.000474071
137,413.623,1.40189,0.99914,1.37093,0.93865,0.90401,0.94899,0.59232,1.27311,1.01063,1.49883,0.000466997,0.000466997,0.000466997
138,416.358,1.36245,0.93387,1.33365,0.93829,0.90585,0.95067,0.58571,1.27519,0.99201,1.49902,0.000459924,0.000459924,0.000459924
139,419.075,1.43632,0.97323,1.36354,0.93819,0.91458,0.94729,0.56697,1.29242,0.98955,1.49752,0.00045285,0.00045285,0.00045285
140,421.804,1.4142,0.95896,1.35723,0.93953,0.90163,0.94493,0.56356,1.30221,1.01857,1.49891,0.000445777,0.000445777,0.000445777
141,424.542,1.41146,0.97491,1.33816,0.94549,0.89666,0.94356,0.58916,1.26462,1.0083,1.48233,0.000438703,0.000438703,0.000438703
142,427.56,1.40945,0.94115,1.30508,0.94156,0.91524,0.94614,0.59465,1.24329,0.98115,1.47054,0.000431629,0.000431629,0.000431629
143,430.617,1.38188,0.93936,1.33502,0.94747,0.9183,0.95355,0.59027,1.24708,0.96064,1.46868,0.000424556,0.000424556,0.000424556
144,433.602,1.38262,0.90244,1.29566,0.94113,0.91378,0.956,0.59796,1.2493,0.97322,1.46781,0.000417482,0.000417482,0.000417482
145,436.647,1.44688,0.92113,1.3065,0.95486,0.90241,0.95593,0.60183,1.24265,0.98345,1.46866,0.000410409,0.000410409,0.000410409
146,439.414,1.4155,0.97715,1.32306,0.95972,0.90721,0.95722,0.59393,1.25479,0.99746,1.47085,0.000403335,0.000403335,0.000403335
147,442.402,1.36902,0.92181,1.31668,0.95505,0.91762,0.95563,0.58446,1.27107,0.95074,1.47975,0.000396262,0.000396262,0.000396262
148,445.171,1.41209,0.90839,1.29023,0.96009,0.90634,0.95693,0.59372,1.2824,0.92899,1.48285,0.000389188,0.000389188,0.000389188
149,448.186,1.41537,0.88748,1.29216,0.94373,0.90667,0.95433,0.60066,1.25771,0.93275,1.47884,0.000382115,0.000382115,0.000382115
150,450.933,1.39998,0.91429,1.33664,0.93326,0.9074,0.95157,0.59889,1.25772,0.97518,1.47052,0.000375041,0.000375041,0.000375041
151,453.957,1.38745,0.92549,1.32343,0.94095,0.91355,0.9524,0.59104,1.26681,0.97374,1.46595,0.000367967,0.000367967,0.000367967
152,456.948,1.35221,0.92196,1.29226,0.94357,0.91899,0.95689,0.60127,1.25139,0.94842,1.45751,0.000360894,0.000360894,0.000360894
153,459.939,1.42995,0.98899,1.33323,0.93947,0.92388,0.95973,0.60552,1.23586,0.94136,1.45068,0.00035382,0.00035382,0.00035382
154,462.956,1.46047,0.96476,1.32061,0.95404,0.91201,0.95961,0.60441,1.24,0.94174,1.45477,0.000346747,0.000346747,0.000346747
155,465.686,1.35313,0.88608,1.27178,0.95235,0.915,0.95836,0.59523,1.27672,0.94077,1.46808,0.000339673,0.000339673,0.000339673
156,468.404,1.39625,0.93025,1.32858,0.95151,0.92457,0.95979,0.60065,1.28285,0.94518,1.47132,0.0003326,0.0003326,0.0003326
157,471.173,1.33884,0.89851,1.27969,0.95206,0.92968,0.96429,0.60276,1.25531,0.94329,1.46152,0.000325526,0.000325526,0.000325526
158,473.971,1.42915,0.90716,1.27391,0.95148,0.9278,0.96492,0.60269,1.25201,0.9433,1.46095,0.000318453,0.000318453,0.000318453
159,476.703,1.38022,0.94947,1.34511,0.94633,0.93241,0.96407,0.6043,1.23575,0.92668,1.45216,0.000311379,0.000311379,0.000311379
160,479.469,1.38657,0.88261,1.28095,0.93863,0.93275,0.96198,0.60893,1.23163,0.91173,1.44395,0.000304306,0.000304306,0.000304306
161,482.253,1.36924,0.90385,1.26756,0.94564,0.92394,0.96169,0.60996,1.2279,0.90966,1.44131,0.000297232,0.000297232,0.000297232
162,485.021,1.32429,0.8855,1.27797,0.94458,0.93103,0.96216,0.61927,1.21461,0.89756,1.43765,0.000290158,0.000290158,0.000290158
163,488.067,1.36585,0.93303,1.27021,0.94811,0.93141,0.96321,0.61611,1.23339,0.8987,1.44194,0.000283085,0.000283085,0.000283085
164,491.064,1.37975,0.90876,1.27777,0.95826,0.93068,0.96287,0.60584,1.24559,0.90301,1.4428,0.000276011,0.000276011,0.000276011
165,494.056,1.36827,0.89618,1.25831,0.95892,0.92415,0.96203,0.61284,1.22565,0.89042,1.43694,0.000268938,0.000268938,0.000268938
166,497.067,1.33658,0.91919,1.31608,0.94973,0.9248,0.96278,0.6186,1.20699,0.88305,1.42417,0.000261864,0.000261864,0.000261864
167,499.788,1.31129,0.86035,1.25015,0.95399,0.92563,0.96349,0.61425,1.2021,0.86886,1.41205,0.000254791,0.000254791,0.000254791
168,502.778,1.34167,0.87359,1.26359,0.9584,0.92344,0.96316,0.61264,1.21396,0.87251,1.40897,0.000247717,0.000247717,0.000247717
169,505.744,1.3384,0.87433,1.27579,0.95945,0.92458,0.96385,0.6141,1.22168,0.87664,1.40983,0.000240644,0.000240644,0.000240644
170,508.448,1.34182,0.87541,1.25347,0.95574,0.92875,0.96469,0.62495,1.21639,0.87391,1.40762,0.00023357,0.00023357,0.00023357
171,511.468,1.34163,0.86633,1.25282,0.95716,0.93175,0.96491,0.62256,1.2157,0.87337,1.4069,0.000226497,0.000226497,0.000226497
172,514.422,1.34963,0.90498,1.23889,0.96192,0.93028,0.96617,0.61889,1.22179,0.88168,1.41271,0.000219423,0.000219423,0.000219423
173,517.447,1.33825,0.86191,1.26615,0.95289,0.93754,0.96572,0.61784,1.19797,0.8738,1.40615,0.000212349,0.000212349,0.000212349
174,520.16,1.32066,0.87866,1.29298,0.95619,0.93366,0.96243,0.62341,1.17977,0.87407,1.4028,0.000205276,0.000205276,0.000205276
175,523.174,1.33703,0.86312,1.26579,0.94515,0.93598,0.96149,0.61878,1.18847,0.87556,1.40605,0.000198202,0.000198202,0.000198202
176,526.168,1.33746,0.85782,1.27345,0.95346,0.92215,0.96191,0.62259,1.19003,0.87675,1.4088,0.000191129,0.000191129,0.000191129
177,528.893,1.31559,0.86315,1.26419,0.95873,0.92152,0.96263,0.62614,1.18622,0.87823,1.40606,0.000184055,0.000184055,0.000184055
178,531.673,1.33012,0.87864,1.27124,0.95826,0.91706,0.96355,0.62976,1.18658,0.87747,1.40559,0.000176982,0.000176982,0.000176982
179,534.738,1.30526,0.83686,1.24023,0.95772,0.92327,0.96515,0.62547,1.18609,0.865,1.39909,0.000169908,0.000169908,0.000169908
180,537.782,1.31275,0.84921,1.23162,0.95698,0.93032,0.96616,0.62229,1.18342,0.86512,1.3943,0.000162835,0.000162835,0.000162835
181,540.783,1.34447,0.86462,1.26232,0.95895,0.93121,0.96585,0.62354,1.18318,0.86356,1.39069,0.000155761,0.000155761,0.000155761
182,543.789,1.34446,0.87151,1.2543,0.95786,0.93259,0.96839,0.62964,1.17236,0.85432,1.38497,0.000148687,0.000148687,0.000148687
183,546.73,1.33439,0.85797,1.2455,0.9561,0.93264,0.96969,0.63371,1.17158,0.8479,1.3848,0.000141614,0.000141614,0.000141614
184,549.744,1.31426,0.83291,1.24096,0.96046,0.92728,0.97021,0.62992,1.176,0.83822,1.38806,0.00013454,0.00013454,0.00013454
185,552.698,1.2763,0.84599,1.26017,0.96361,0.93003,0.9711,0.62203,1.18539,0.83091,1.39239,0.000127467,0.000127467,0.000127467
